"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 12:05:32 GMT 2022","Wed Feb 02 12:06:09 GMT 2022","36955","","desktopTests.regressionTests.UserProfileTests","","desktopTests.regressionTests.UserProfileTests","t00000","Profile: delete address that was default",""
"failed","Wed Feb 02 12:02:52 GMT 2022","Wed Feb 02 12:03:16 GMT 2022","23628","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00301","Master completes order: online",""
"failed","Wed Feb 02 12:07:16 GMT 2022","Wed Feb 02 12:07:55 GMT 2022","38827","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00000","Booking: today's date",""
"failed","Wed Feb 02 12:04:04 GMT 2022","Wed Feb 02 12:04:27 GMT 2022","23430","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00500","Chat test",""
"failed","Wed Feb 02 12:03:16 GMT 2022","Wed Feb 02 12:03:39 GMT 2022","23345","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00402","Post and check review add to favorites in the process",""
"passed","Wed Feb 02 12:05:20 GMT 2022","Wed Feb 02 12:05:31 GMT 2022","11790","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00701","Search page search: professional name",""
"failed","Wed Feb 02 12:04:27 GMT 2022","Wed Feb 02 12:04:51 GMT 2022","23409","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00600","Remove master from favorites",""
"failed","Wed Feb 02 12:07:55 GMT 2022","Wed Feb 02 12:08:33 GMT 2022","38198","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00001","Booking: your own service for another person",""
"failed","Wed Feb 02 12:03:39 GMT 2022","Wed Feb 02 12:04:04 GMT 2022","24539","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00403","Review answer",""
"failed","Wed Feb 02 12:08:33 GMT 2022","Wed Feb 02 12:09:23 GMT 2022","50047","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00002","Booking: a service for another person",""
"failed","Wed Feb 02 12:09:23 GMT 2022","Wed Feb 02 12:10:01 GMT 2022","37637","","desktopTests.regressionTests.BookingTests","","desktopTests.regressionTests.BookingTests","t00100","Booking: time step, can't navigate back in time via arrows",""
"failed","Wed Feb 02 12:02:30 GMT 2022","Wed Feb 02 12:02:52 GMT 2022","22614","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00300","Check orders from user side",""
"failed","Wed Feb 02 12:01:55 GMT 2022","Wed Feb 02 12:02:30 GMT 2022","34575","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00200","Basic booking online",""
"passed","Wed Feb 02 12:06:39 GMT 2022","Wed Feb 02 12:07:16 GMT 2022","36774","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00001","'Best works' will show if filled",""
"passed","Wed Feb 02 12:00:49 GMT 2022","Wed Feb 02 12:01:19 GMT 2022","30038","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00001","Basic Positive User Registration",""
"passed","Wed Feb 02 12:00:17 GMT 2022","Wed Feb 02 12:00:49 GMT 2022","32458","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00000","Full Positive User Registration - in order",""
"passed","Wed Feb 02 12:06:10 GMT 2022","Wed Feb 02 12:06:39 GMT 2022","28886","","desktopTests.regressionTests.SearchTests","","desktopTests.regressionTests.SearchTests","t00000","'Best works' will not show if professional doesn't have any",""
"passed","Wed Feb 02 12:05:09 GMT 2022","Wed Feb 02 12:05:20 GMT 2022","10587","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00700","Main page search: professional name",""
"passed","Wed Feb 02 12:01:19 GMT 2022","Wed Feb 02 12:01:55 GMT 2022","36036","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00100","Basic positive service publishing, service location: Online",""
"passed","Wed Feb 02 12:04:51 GMT 2022","Wed Feb 02 12:05:09 GMT 2022","18077","","desktopTests.smokeTests.PositiveTests","","desktopTests.smokeTests.PositiveTests","t00601","Add master to favorite from search results",""
