"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Search","Search from the main page","0","0","1","0","0"
"","User Registration","Minimal registration","0","0","1","0","0"
"","User Registration","Full registration","0","0","1","0","0"
"","Reviews","Review check","0","0","1","0","0"
"","Search","Search from the search page","0","0","1","0","0"
"","Booking","https://redmine.maxi-booking.ru/issues/4857","1","0","0","0","0"
"","Search","https://redmine.maxi-booking.ru/issues/4932","0","0","2","0","0"
"","Profile","https://redmine.maxi-booking.ru/issues/4844","0","0","1","0","0"
"","Booking","https://redmine.maxi-booking.ru/issues/4764","0","0","2","0","0"
"","Favorites","Remove master from favorites","0","0","1","0","0"
"","Booking","Service booking","0","0","1","0","0"
"","Booking","https://redmine.maxi-booking.ru/issues/4929","1","0","0","0","0"
"","Orders","Order check","0","0","2","0","0"
"","Favorites","Add master to favorites","0","0","1","0","0"
"","Messages","Chatting tests","1","0","0","0","0"
"","Service Publish","Minimal service publication","0","0","1","0","0"
"","Reviews","Review master answers","0","0","1","0","0"
